Object	DM1	DM10	DM11	DM12	DM13	DM14	DM15	DM16	DM17	DM2	DM3	DM4	DM5	DM6	DM7	DM8	DM9	SN1	SN10	SN2	SN3	SN4	SN5	SN6	SN7	SN8	SN9							
IPI:IPI00020091	120	166	168	141	98	138	81	113	152	121	86	95	129	229	103	166	146	157	179	165	181	112	309	125	167	231	155							
IPI:IPI00298828	184	69	99	106	62	105	101	106	104	116	62	142	123	76	67	90	104	203	220	240	126	147	334	127	289	352	240							
IPI:IPI00032328	179	47	49	78	26	79	147	130	152	138	76	194	217	63	44	56	100	193	333	202	117	159	143	118	333	263	235							
IPI:IPI00215894	178	47	48	78	26	79	146	128	150	138	76	194	217	63	44	56	100	189	329	195	116	158	143	118	333	259	234							
IPI:IPI00022426	113	92	207	188	68	120	83	91	97	148	90	236	234	201	115	104	134	103	125	93	111	193	172	88	99	79	98							
IPI:IPI00026314	117	39	73	101	47	104	53	104	168	146	89	83	127	83	104	76	125	134	151	157	170	167	50	171	188	255	190							
IPI:IPI00555872	138	138	107	305	159	84	97	180	104	91	100	126	100	105	40	77	74	74	93	151	124	130	52	136	207	113	160							
IPI:IPI00384392	138	138	106	305	159	81	97	180	104	91	100	126	100	103	40	75	74	74	95	152	124	130	52	135	205	111	159							
IPI:IPI00382494	138	138	106	305	159	81	97	180	104	91	100	126	100	103	40	78	74	74	93	151	124	129	52	134	205	111	158							
IPI:IPI00382480	138	138	106	305	159	81	97	180	104	91	100	126	100	103	40	75	74	74	93	151	124	130	52	134	206	111	158							
IPI:IPI00479553	138	138	106	305	159	81	97	180	104	91	100	126	100	103	40	75	74	74	93	151	124	129	53	134	205	111	158							
IPI:IPI00477069	138	138	106	305	159	81	97	180	104	91	100	126	100	103	40	75	74	74	93	151	124	129	52	134	205	111	158							
IPI:IPI00387115	61	121	93	118	79	82	143	108	123	91	81	99	84	83	46	70	61	121	133	191	129	148	53	216	241	183	140							
IPI:IPI00385252	60	114	90	119	75	81	143	108	124	92	78	96	78	80	48	72	68	117	136	188	131	145	48	208	239	181	136							
IPI:IPI00410714	138	155	137	137	96	104	69	175	83	190	152	64	55	46	62	16	43	104	232	77	113	242	132	76	120	136	85							
IPI:IPI00030205	58	127	87	114	76	83	137	110	121	88	76	95	81	81	46	72	51	115	131	195	129	151	46	211	235	175	137							
IPI:IPI00387117	59	113	88	116	74	78	143	107	123	90	78	96	78	78	44	67	59	117	129	182	124	142	48	206	241	178	138							
IPI:IPI00387120	509	67	212	88	61	60	97	98	106	100	58	69	93	50	18	62	39	111	47	97	90	96	95	146	120	165	168							
IPI:IPI00304273	109	110	182	141	75	110	73	91	68	89	78	90	105	63	111	159	274	48	102	93	83	98	53	69	93	171	63							
IPI:IPI00019943	143	89	52	58	18	109	141	81	103	140	83	119	118	86	51	50	95	164	128	113	68	136	121	106	132	172	73							
IPI:IPI00478761	104	108	182	139	73	116	72	89	70	88	79	87	99	62	107	156	270	45	98	91	81	95	48	64	90	169	61							
IPI:IPI00032291	105	71	78	92	72	102	71	80	78	92	72	144	98	106	65	114	110	96	98	89	131	95	53	62	90	75	100							
